run,epoch,lr,bs,loss,cw,balance,arch,seed,eval_loss,macro_f1,accuracy,r_supp,r_neut,r_opp,cm
lr1e5_sqrt,3.0,1e-05,32,weighted,sqrt,none,full,42,0.911239504814148,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
lr1e5_sqrt,4.0,1e-05,32,weighted,sqrt,none,full,42,0.9145760536193848,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
lr1e5_sqrt,5.0,1e-05,32,weighted,sqrt,none,full,42,0.9126189947128296,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
lr1e5_sqrt,5.0,1e-05,32,weighted,sqrt,none,full,42,0.9053364396095276,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
fp32_sqrt,0,2e-05,32,weighted,sqrt,none,full,42,0.8512294292449951,0.6554768985148732,0.8285714285714286,0.5562913907284768,0.8945342571208622,0.5157894736842106,"[[168, 134, 0], [69, 2324, 205], [14, 124, 147]]"
fp32_sqrt,1.0,2e-05,32,weighted,sqrt,none,full,42,nan,0.057738265940158684,0.09481946624803768,1.0,0.0,0.0,"[[302, 0, 0], [2598, 0, 0], [285, 0, 0]]"
fp32_sqrt,2.0,2e-05,32,weighted,sqrt,none,full,42,nan,0.057738265940158684,0.09481946624803768,1.0,0.0,0.0,"[[302, 0, 0], [2598, 0, 0], [285, 0, 0]]"
fp32_sqrt,3.0,2e-05,32,weighted,sqrt,none,full,42,nan,0.057738265940158684,0.09481946624803768,1.0,0.0,0.0,"[[302, 0, 0], [2598, 0, 0], [285, 0, 0]]"
fp32_sqrt,4.0,2e-05,32,weighted,sqrt,none,full,42,nan,0.057738265940158684,0.09481946624803768,1.0,0.0,0.0,"[[302, 0, 0], [2598, 0, 0], [285, 0, 0]]"
fp32_sqrt,5.0,2e-05,32,weighted,sqrt,none,full,42,nan,0.057738265940158684,0.09481946624803768,1.0,0.0,0.0,"[[302, 0, 0], [2598, 0, 0], [285, 0, 0]]"
fp32_sqrt,5.0,2e-05,32,weighted,sqrt,none,full,42,nan,0.057738265940158684,0.09481946624803768,1.0,0.0,0.0,"[[302, 0, 0], [2598, 0, 0], [285, 0, 0]]"
stable_lr1e5,0,1e-05,32,weighted,sqrt,none,full,42,0.8512294292449951,0.6554768985148732,0.8285714285714286,0.5562913907284768,0.8945342571208622,0.5157894736842106,"[[168, 134, 0], [69, 2324, 205], [14, 124, 147]]"
stable_lr1e5,1.0,1e-05,32,weighted,sqrt,none,full,42,0.9083520770072937,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
stable_lr1e5,2.0,1e-05,32,weighted,sqrt,none,full,42,0.9211728572845459,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
stable_lr1e5,3.0,1e-05,32,weighted,sqrt,none,full,42,0.9153589606285095,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
stable_lr1e5,4.0,1e-05,32,weighted,sqrt,none,full,42,0.9246886372566223,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
stable_lr1e5,5.0,1e-05,32,weighted,sqrt,none,full,42,0.9121592044830322,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
stable_lr1e5,5.0,1e-05,32,weighted,sqrt,none,full,42,0.9083520770072937,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
over_ce,0,1e-05,32,ce,effnum,over,full,42,0.5989163517951965,0.6554768985148732,0.8285714285714286,0.5562913907284768,0.8945342571208622,0.5157894736842106,"[[168, 134, 0], [69, 2324, 205], [14, 124, 147]]"
over_ce,1.0,1e-05,32,ce,effnum,over,full,42,1.068390965461731,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
over_ce,2.0,1e-05,32,ce,effnum,over,full,42,1.0822160243988037,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
over_ce,3.0,1e-05,32,ce,effnum,over,full,42,1.0981076955795288,0.0547550432276657,0.08948194662480377,0.0,0.0,1.0,"[[0, 0, 302], [0, 0, 2598], [0, 0, 285]]"
over_ce,4.0,1e-05,32,ce,effnum,over,full,42,1.0992196798324585,0.05529944104338568,0.09010989010989011,0.0,0.0007698229407236335,1.0,"[[0, 0, 302], [0, 2, 2596], [0, 0, 285]]"
over_ce,5.0,1e-05,32,ce,effnum,over,full,42,1.0974745750427246,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
over_ce,5.0,1e-05,32,ce,effnum,over,full,42,1.068390965461731,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
lora_over_ce,0,0.0002,32,ce,effnum,over,lora,42,0.5989163517951965,0.6554768985148732,0.8285714285714286,0.5562913907284768,0.8945342571208622,0.5157894736842106,"[[168, 134, 0], [69, 2324, 205], [14, 124, 147]]"
lora_over_ce,1.0,0.0002,32,ce,effnum,over,lora,42,0.4934876263141632,0.6979553478053501,0.8172684458398745,0.8377483443708609,0.8225558121632025,0.7473684210526316,"[[253, 44, 5], [238, 2137, 223], [20, 52, 213]]"
lora_over_ce,2.0,0.0002,32,ce,effnum,over,lora,42,0.5231016874313354,0.7215885895716653,0.8455259026687598,0.7317880794701986,0.8687451886066204,0.7543859649122807,"[[221, 75, 6], [153, 2257, 188], [15, 55, 215]]"
lora_over_ce,3.0,0.0002,32,ce,effnum,over,lora,42,0.6009117960929871,0.7255513608520691,0.8514913657770801,0.7052980132450332,0.8806774441878368,0.7403508771929824,"[[213, 84, 5], [130, 2288, 180], [13, 61, 211]]"
lora_over_ce,4.0,0.0002,32,ce,effnum,over,lora,42,0.6960787177085876,0.718432318734252,0.8480376766091052,0.6721854304635762,0.880292532717475,0.7403508771929824,"[[203, 94, 5], [129, 2287, 182], [10, 64, 211]]"
lora_over_ce,5.0,0.0002,32,ce,effnum,over,lora,42,0.6985870003700256,0.7250256715859998,0.8565149136577708,0.652317880794702,0.8956889915319477,0.7157894736842105,"[[197, 101, 4], [111, 2327, 160], [8, 73, 204]]"
lora_over_ce,5.0,0.0002,32,ce,effnum,over,lora,42,0.6009117960929871,0.7255513608520691,0.8514913657770801,0.7052980132450332,0.8806774441878368,0.7403508771929824,"[[213, 84, 5], [130, 2288, 180], [13, 61, 211]]"
lora_tg_all,0,0.0002,32,ce,effnum,over,lora,42,0.5989163517951965,0.6554768985148732,0.8285714285714286,0.5562913907284768,0.8945342571208622,0.5157894736842106,"[[168, 134, 0], [69, 2324, 205], [14, 124, 147]]"
lora_tg_all,1.0,0.0002,32,ce,effnum,over,lora,42,0.46295225620269775,0.7218364381513994,0.8492935635792779,0.7450331125827815,0.8775981524249422,0.7017543859649122,"[[225, 73, 4], [164, 2280, 154], [18, 67, 200]]"
lora_tg_all,2.0,0.0002,32,ce,effnum,over,lora,42,0.6157002449035645,0.71785303488788,0.8527472527472527,0.6556291390728477,0.8906851424172441,0.7157894736842105,"[[198, 96, 8], [127, 2314, 157], [14, 67, 204]]"
lora_tg_all,3.0,0.0002,32,ce,effnum,over,lora,42,0.7977856397628784,0.7308989029259522,0.871585557299843,0.5728476821192053,0.9276366435719784,0.6771929824561403,"[[173, 129, 0], [72, 2410, 116], [12, 80, 193]]"
lora_tg_all,4.0,0.0002,32,ce,effnum,over,lora,42,0.9724571704864502,0.7301013480909527,0.8706436420722135,0.5695364238410596,0.9253271747498075,0.6912280701754386,"[[172, 128, 2], [83, 2404, 111], [12, 76, 197]]"
lora_tg_all,5.0,0.0002,32,ce,effnum,over,lora,42,1.09591805934906,0.7272254356287969,0.8722135007849293,0.5397350993377483,0.9318706697459584,0.6807017543859649,"[[163, 137, 2], [63, 2421, 114], [11, 80, 194]]"
